T,     a,      b,       c,      d,     e,       Sr,     Si,    Ss,     Ssl,    Ch,     C1,     C2,     C3,     C4,    sigma, tau,   tauI,  tauS,   Ps,      Qi,      Qs,     Wi,      Ws
PGA,   1.101, -0.00564, 0.0055, 1.080, 0.01412, 0.251,  0.000, 2.607, -0.528,  0.293,  1.111,  1.344,  1.355,  1.420, 0.604, 0.398, 0.308, 0.321,  0.1392,  0.0000,  0.1584, 0.0000, -0.0529
0.01,  1.101, -0.00564, 0.0055, 1.080, 0.01412, 0.251,  0.000, 2.607, -0.528,  0.293,  1.111,  1.344,  1.355,  1.420, 0.604, 0.398, 0.308, 0.321,  0.1392,  0.0000,  0.1584, 0.0000, -0.0529
0.02,  0.0,    0.0,     0.0,    0.0,   0.0,     0.0,    0.0,   0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,   0.0,   0.0,   0.0,   0.0,    0.0,     0.0,     0.0,    0.0,     0.0
0.03,  0.0,    0.0,     0.0,    0.0,   0.0,     0.0,    0.0,   0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,   0.0,   0.0,   0.0,   0.0,    0.0,     0.0,     0.0,    0.0,     0.0
0.05,  1.076, -0.00671, 0.0075, 1.060, 0.01463, 0.251,  0.000, 2.764, -0.551,  0.939,  1.684,  1.793,  1.747,  1.814, 0.640, 0.444, 0.343, 0.378,  0.1636,  0.0000,  0.1932, 0.0000, -0.0841
0.075, 0.0,    0.0,     0.0,    0.0,   0.0,     0.0,    0.0,   0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,   0.0,   0.0,   0.0,   0.0,    0.0,     0.0,     0.0,    0.0,     0.0
0.10,  1.118, -0.00787, 0.0090, 1.083, 0.01423, 0.240,  0.000, 2.156, -0.420,  1.499,  2.061,  2.135,  2.031,  2.082, 0.694, 0.490, 0.403, 0.420,  0.1690,  0.0000,  0.2057, 0.0000, -0.0877
0.15,  1.134, -0.00722, 0.0100, 1.053, 0.01509, 0.251,  0.000, 2.161, -0.431,  1.462,  1.916,  2.168,  2.052,  2.113, 0.702, 0.460, 0.367, 0.372,  0.1669, -0.0138,  0.1984, 0.0286, -0.0773
0.20,  1.147, -0.00659, 0.0120, 1.014, 0.01462, 0.260,  0.000, 1.901, -0.372,  1.280,  1.669,  2.085,  2.001,  2.030, 0.692, 0.423, 0.328, 0.324,  0.1631, -0.0256,  0.1856, 0.0352, -0.0644
0.25,  1.149, -0.00590, 0.0140, 0.966, 0.01459, 0.269,  0.000, 1.814, -0.360,  1.121,  1.468,  1.942,  1.941,  1.937, 0.682, 0.391, 0.289, 0.294,  0.1588, -0.0348,  0.1714, 0.0403, -0.0515
0.30,  1.163, -0.00520, 0.0150, 0.934, 0.01458, 0.259,  0.000, 2.181, -0.450,  0.852,  1.172,  1.683,  1.808,  1.770, 0.670, 0.379, 0.280, 0.284,  0.1544, -0.0423,  0.1573, 0.0445, -0.0395
0.40,  1.200, -0.00422, 0.0100, 0.959, 0.01257, 0.248, -0.041, 2.432, -0.506,  0.365,  0.655,  1.127,  1.482,  1.397, 0.659, 0.390, 0.271, 0.278,  0.1460, -0.0541,  0.1309, 0.0511, -0.0183
0.50,  1.250, -0.00338, 0.0060, 1.008, 0.01114, 0.247, -0.053, 2.629, -0.554, -0.207,  0.071,  0.515,  0.934,  0.955, 0.653, 0.389, 0.277, 0.272,  0.1381, -0.0632,  0.1078, 0.0562, -0.0008
#0.60, 1.293, -0.00282, 0.0030, 1.088, 0.01019, 0.233, -0.103, 2.702, -0.575, -0.705, -0.429, -0.003,  0.394,  0.559, 0.653, 0.401, 0.296, 0.285,  0.1307, -0.0707,  0.0878, 0.0604,  0.0136
#0.70, 1.336, -0.00258, 0.0025, 1.084, 0.00979, 0.220, -0.146, 2.654, -0.572, -1.144, -0.866, -0.449, -0.111,  0.188, 0.652, 0.408, 0.313, 0.290,  0.1239, -0.0771,  0.0705, 0.0639,  0.0254
0.75,  0.0,    0.0,     0.0,    0.0,   0.0,     0.0,    0.0,   0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,   0.0,   0.0,   0.0,   0.0,    0.0,     0.0,     0.0,    0.0,     0.0
#0.80, 1.386, -0.00242, 0.0022, 1.088, 0.00944, 0.232, -0.164, 2.480, -0.540, -1.609, -1.325, -0.928, -0.620, -0.246, 0.647, 0.418, 0.329, 0.299,  0.1176, -0.0825,  0.0556, 0.0670,  0.0352
#0.90, 1.433, -0.00232, 0.0020, 1.109, 0.00972, 0.220, -0.206, 2.332, -0.522, -2.023, -1.732, -1.349, -1.066, -0.643, 0.653, 0.411, 0.324, 0.289,  0.1116, -0.0874,  0.0426, 0.0697,  0.0432
1.00,  1.479, -0.00220, 0.0020, 1.115, 0.01005, 0.211, -0.239, 2.233, -0.509, -2.451, -2.152, -1.776, -1.523, -1.084, 0.657, 0.410, 0.328, 0.286,  0.1060, -0.0917,  0.0314, 0.0721,  0.0498
#1.25, 1.551, -0.00207, 0.0020, 1.083, 0.01003, 0.251, -0.256, 2.029, -0.469, -3.243, -2.923, -2.542, -2.327, -1.936, 0.660, 0.402, 0.339, 0.277,  0.0933, -0.1009,  0.0093, 0.0772,  0.0612
1.50,  1.621, -0.00224, 0.0020, 1.091, 0.00928, 0.248, -0.307, 1.589, -0.379, -3.888, -3.548, -3.169, -2.979, -2.661, 0.664, 0.408, 0.352, 0.282,  0.0821, -0.1083, -0.0062, 0.0814,  0.0674
2.00,  1.694, -0.00201, 0.0025, 1.055, 0.00833, 0.263, -0.321, 0.966, -0.248, -4.783, -4.410, -4.039, -3.871, -3.640, 0.669, 0.414, 0.360, 0.300,  0.0628, -0.1202, -0.0235, 0.0880,  0.0692
#2.50, 1.748, -0.00187, 0.0028, 1.052, 0.00776, 0.262, -0.337, 0.789, -0.221, -5.444, -5.049, -4.698, -4.496, -4.341, 0.671, 0.411, 0.356, 0.292,  0.0465, -0.1293, -0.0287, 0.0931,  0.0622
3.00,  1.759, -0.00147, 0.0032, 1.025, 0.00644, 0.307, -0.331, 1.037, -0.263, -5.839, -5.431, -5.089, -4.893, -4.758, 0.667, 0.396, 0.338, 0.274,  0.0322, -0.1368, -0.0261, 0.0972,  0.0496
4.00,  1.826, -0.00195, 0.0040, 1.044, 0.00590, 0.353, -0.390, 0.561, -0.169, -6.598, -6.181, -5.882, -5.698, -5.588, 0.647, 0.382, 0.307, 0.281,  0.0083, -0.1486, -0.0065, 0.1038,  0.0150
5.00,  1.825, -0.00237, 0.0050, 1.065, 0.00510, 0.248, -0.498, 0.225, -0.120, -6.752, -6.347, -6.051, -5.873, -5.798, 0.643, 0.377, 0.272, 0.296, -0.0117, -0.1578,  0.0246, 0.1090, -0.0268
7.5,   0.0,    0.0,     0.0,    0.0,   0.0,     0.0,    0.0,   0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,   0.0,   0.0,   0.0,   0.0,    0.0,     0.0,     0.0,    0.0,     0.0
10.0,  0.0,    0.0,     0.0,    0.0,   0.0,     0.0,    0.0,   0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,   0.0,   0.0,   0.0,   0.0,    0.0,     0.0,     0.0,    0.0,     0.0
