T,a,b,c,d,e,Sr,Si,Ss,Ssl,C1,C2,C3,sigma,tau,tauI,tauS,Ps,Qi,Qs,Wi,Ws
PGA,1.101,-0.00564,0.0055,1.0797,0.01412,0.2509,0,2.607,-0.5284,1.1111,1.344,1.3548,0.6039,0.3976,0.308,0.321,0.1392,0,0.1584,0,-0.0529
0.05,1.076,-0.00671,0.0075,1.0598,0.01463,0.2513,0,2.764,-0.5507,1.6845,1.793,1.7474,0.6399,0.4437,0.343,0.378,0.1636,0,0.1932,0,-0.0841
0.1,1.118,-0.00787,0.009,1.0827,0.01423,0.2403,0,2.156,-0.4201,2.0609,2.1346,2.0311,0.6936,0.4903,0.403,0.42,0.169,0,0.2057,0,-0.0877
0.15,1.134,-0.00722,0.01,1.0529,0.01509,0.2506,0,2.161,-0.4315,1.9165,2.168,2.0518,0.7017,0.4603,0.367,0.372,0.1669,-0.0138,0.1984,0.0286,-0.0773
0.2,1.147,-0.00659,0.012,1.0136,0.01462,0.2601,0,1.901,-0.3715,1.6688,2.0854,2.0007,0.6917,0.4233,0.328,0.324,0.1631,-0.0256,0.1856,0.0352,-0.0644
0.25,1.149,-0.0059,0.014,0.96638,0.01459,0.269,0,1.814,-0.3601,1.4683,1.9416,1.9407,0.6823,0.3908,0.289,0.294,0.1588,-0.0348,0.1714,0.0403,-0.0515
0.3,1.163,-0.0052,0.015,0.93427,0.01458,0.259,0,2.181,-0.4505,1.172,1.6829,1.8083,0.6696,0.379,0.28,0.284,0.1544,-0.0423,0.1573,0.0445,-0.0395
0.4,1.2,-0.00422,0.01,0.9588,0.01257,0.2479,-0.0412,2.432,-0.5061,0.6548,1.1271,1.4825,0.6589,0.3897,0.271,0.278,0.146,-0.0541,0.1309,0.0511,-0.0183
0.5,1.25,-0.00338,0.006,1.0078,0.01114,0.247,-0.0528,2.629,-0.5538,0.0713,0.5149,0.9339,0.653,0.389,0.277,0.272,0.1381,-0.0632,0.1078,0.0562,-0.0008
0.6,1.293,-0.00282,0.003,1.0877,0.01019,0.2326,-0.1034,2.702,-0.5746,-0.4288,-0.0027,0.3936,0.6527,0.4014,0.296,0.285,0.1307,-0.0707,0.0878,0.0604,0.0136
0.7,1.336,-0.00258,0.0025,1.0838,0.00979,0.22,-0.146,2.654,-0.5721,-0.8656,-0.4493,-0.1109,0.6516,0.4079,0.313,0.29,0.1239,-0.0771,0.0705,0.0639,0.0254
0.8,1.386,-0.00242,0.0022,1.0885,0.00944,0.2321,-0.1638,2.48,-0.5397,-1.325,-0.9284,-0.62,0.6467,0.4183,0.329,0.299,0.1176,-0.0825,0.0556,0.067,0.0352
0.9,1.433,-0.00232,0.002,1.1092,0.00972,0.2196,-0.2062,2.332,-0.5216,-1.7322,-1.349,-1.0665,0.6525,0.4106,0.324,0.289,0.1116,-0.0874,0.0426,0.0697,0.0432
1,1.479,-0.0022,0.002,1.1147,0.01005,0.2107,-0.2393,2.233,-0.5094,-2.1522,-1.7757,-1.5228,0.657,0.4101,0.328,0.286,0.106,-0.0917,0.0314,0.0721,0.0498
1.25,1.551,-0.00207,0.002,1.083,0.01003,0.251,-0.2557,2.029,-0.4692,-2.9226,-2.5422,-2.3272,0.6601,0.4021,0.339,0.277,0.0933,-0.1009,0.0093,0.0772,0.0612
1.5,1.621,-0.00224,0.002,1.0912,0.00928,0.2483,-0.3065,1.589,-0.3787,-3.5476,-3.1689,-2.9789,0.664,0.4076,0.352,0.282,0.0821,-0.1083,-0.0062,0.0814,0.0674
2,1.694,-0.00201,0.0025,1.0549,0.00833,0.2631,-0.3214,0.966,-0.2484,-4.4102,-4.0387,-3.8714,0.6694,0.4138,0.36,0.3,0.0628,-0.1202,-0.0235,0.088,0.0692
2.5,1.748,-0.00187,0.0028,1.0519,0.00776,0.262,-0.3366,0.789,-0.2215,-5.0492,-4.6979,-4.4963,0.6706,0.4108,0.356,0.292,0.0465,-0.1293,-0.0287,0.0931,0.0622
3,1.759,-0.00147,0.0032,1.0245,0.00644,0.3066,-0.3306,1.037,-0.2625,-5.4307,-5.089,-4.8932,0.6671,0.3961,0.338,0.274,0.0322,-0.1368,-0.0261,0.0972,0.0496
4,1.826,-0.00195,0.004,1.0436,0.0059,0.3529,-0.3898,0.561,-0.1689,-6.1813,-5.8821,-5.6981,0.6468,0.3821,0.307,0.281,0.0083,-0.1486,-0.0065,0.1038,0.015
5,1.825,-0.00237,0.005,1.0652,0.0051,0.2485,-0.4978,0.225,-0.1201,-6.3471,-6.0512,-5.8733,0.6431,0.3766,0.272,0.296,-0.0117,-0.1578,0.0246,0.109,-0.0268